Date,Time,Average,Peak
2015-05-22,10:38:33,47.891774,51.783294
2015-05-22,10:38:33,48.094113,48.676894
2015-05-22,10:38:34,45.946596,46.133619
2015-05-22,10:38:34,49.632993,50.360566
2015-05-22,10:38:34,45.902949,48.295272
2015-05-22,10:38:34,47.735199,47.915016
2015-05-22,10:38:34,46.241181,46.523629
2015-05-22,10:38:34,47.371708,47.696045
2015-05-22,10:38:34,47.218247,47.218247
2015-05-22,10:38:34,46.706884,47.857213
2015-05-22,10:38:34,48.746977,49.097120
2015-05-22,10:38:35,46.113741,47.509179
2015-05-22,10:38:35,47.247082,47.691217
2015-05-22,10:38:35,48.283111,48.760178
2015-05-22,10:38:35,44.379352,44.379352
2015-05-22,10:38:35,46.119853,48.457524
2015-05-22,10:38:35,47.723795,47.981937
2015-05-22,10:38:35,47.304162,49.386010
2015-05-22,10:38:36,44.745747,47.279637
2015-05-22,10:38:36,44.807573,45.217951
2015-05-22,10:38:36,45.148801,48.905535
2015-05-22,10:38:36,44.730657,44.982140
2015-05-22,10:38:36,41.666255,43.723309
2015-05-22,10:38:36,46.222671,46.222671
2015-05-22,10:38:36,43.626985,44.375664
2015-05-22,10:38:36,43.642736,47.124512
2015-05-22,10:38:36,48.440291,48.860491
2015-05-22,10:38:37,45.226057,47.138112
2015-05-22,10:38:37,42.514286,44.669412
2015-05-22,10:38:37,43.281174,46.513659
2015-05-22,10:38:37,42.132146,43.008662
2015-05-22,10:38:37,45.270117,45.829804
2015-05-22,10:38:37,44.211536,46.856659
2015-05-22,10:38:37,43.678404,43.747891
2015-05-22,10:38:37,40.472630,45.689506
2015-05-22,10:38:38,43.776721,45.435758
2015-05-22,10:38:38,40.348778,44.040785
2015-05-22,10:38:38,42.726653,42.768154
2015-05-22,10:38:38,45.942983,46.117503
2015-05-22,10:38:38,43.451143,45.189197
2015-05-22,10:38:38,40.922525,44.838000
2015-05-22,10:38:38,43.017264,45.827452
2015-05-22,10:38:38,41.655331,43.343990
