Date,Time,Average,Peak
2015-05-27,17:28:37,52.510500,53.803421
2015-05-27,17:28:37,51.832066,53.263412
2015-05-27,17:28:37,52.435523,52.757593
2015-05-27,17:28:38,51.942698,52.421491
2015-05-27,17:28:38,52.711860,54.187888
2015-05-27,17:28:38,51.949882,53.192285
2015-05-27,17:28:38,53.758874,53.800743
2015-05-27,17:28:38,51.254235,53.137720
2015-05-27,17:28:38,51.988138,54.417963
2015-05-27,17:28:38,54.697649,54.773431
2015-05-27,17:28:38,55.222114,55.850846
2015-05-27,17:28:39,53.942602,54.490972
2015-05-27,17:28:39,53.292669,53.318258
2015-05-27,17:28:39,55.444035,56.391122
2015-05-27,17:28:39,52.971117,56.316041
2015-05-27,17:28:39,53.611178,54.598821
2015-05-27,17:28:39,52.254707,54.414097
2015-05-27,17:28:39,52.577647,54.388066
2015-05-27,17:28:39,52.667305,53.208343
2015-05-27,17:28:40,52.870632,52.913530
2015-05-27,17:28:40,53.019544,54.030033
2015-05-27,17:28:40,53.781387,53.847517
2015-05-27,17:28:40,52.418696,53.661227
2015-05-27,17:28:40,50.919384,52.279688
2015-05-27,17:28:40,51.811977,51.907430
2015-05-27,17:28:40,53.170155,53.170155
2015-05-27,17:28:40,51.820178,53.690191
2015-05-27,17:28:41,53.427820,53.427820
2015-05-27,17:28:41,51.806033,51.984222
2015-05-27,17:28:41,52.672273,52.819915
2015-05-27,17:28:41,53.014675,53.014675
2015-05-27,17:28:41,52.265597,52.312845
2015-05-27,17:28:41,52.156088,53.008478
2015-05-27,17:28:41,51.452173,52.064646
2015-05-27,17:28:41,51.509264,52.641009
2015-05-27,17:28:42,53.148340,53.351432
2015-05-27,17:28:42,53.145434,53.197775
2015-05-27,17:28:42,52.889180,52.905334
2015-05-27,17:28:42,52.166929,52.469183
2015-05-27,17:28:42,52.712649,53.248029
2015-05-27,17:28:42,53.022068,53.208366
2015-05-27,17:28:42,53.544794,53.950677
2015-05-27,17:28:42,53.427925,53.916839
2015-05-27,17:28:43,54.422202,54.543549
2015-05-27,17:28:43,53.904773,54.081699
2015-05-27,17:28:43,53.916579,54.030832
2015-05-27,17:28:43,52.276427,53.095689
2015-05-27,17:28:43,54.125509,54.141598
2015-05-27,17:28:43,51.601030,53.026458
2015-05-27,17:28:43,52.888792,53.789793
2015-05-27,17:28:43,52.235945,53.614947
2015-05-27,17:28:43,51.187175,52.207443
2015-05-27,17:28:44,52.559479,53.054979
2015-05-27,17:28:44,52.671102,53.424315
2015-05-27,17:28:44,52.653844,52.653844
2015-05-27,17:28:44,52.398021,52.398266
2015-05-27,17:28:44,52.744423,52.878150
2015-05-27,17:28:44,52.436641,52.480849
2015-05-27,17:28:44,52.698405,52.756631
2015-05-27,17:28:44,52.160065,52.483064
2015-05-27,17:28:45,51.739953,52.538525
2015-05-27,17:28:45,50.658732,52.744660
2015-05-27,17:28:45,52.728228,52.728228
2015-05-27,17:28:45,50.885717,51.871562
